,Cluster 0,Cluster 1,Cluster 2
Age,0.012867270216940459,-0.42067017359258496,0.47513372006368493
alcohol_consumption_per_week,0.001405219539621079,-0.013619555066529586,0.014490565137151528
physical_activity_minutes_per_week,-0.16170205662712506,0.1813394065413575,-0.06387837455723172
diet_score,0.038740402205849137,0.1633650121617455,-0.22399099343717147
sleep_hours_per_day,0.003200746247345863,-0.005773092712181465,0.003791054343179099
screen_time_hours_per_day,0.0374068905719421,-0.02207727610911974,-0.008216702628707837
bmi,-0.23117983076033757,-0.4861091715968109,0.7711175184438589
waist_to_hip_ratio,-0.21604656903199354,-0.4230387266054575,0.684481652040163
systolic_bp,-0.06999705757498176,-0.3927100757012509,0.5175713925833794
diastolic_bp,-0.0597126252445221,-0.2014603540950432,0.28699876459831675
heart_rate,0.05521357751279582,-0.06515641102115269,0.025557592828120798
cholesterol_total,-0.28256170915988915,-0.38740267315082794,0.7032816230694952
hdl_cholesterol,0.09927309926780108,0.21963659165757923,-0.3437355481258053
ldl_cholesterol,-0.30693317228663475,-0.427067651900998,0.7711735837355029
triglycerides,-0.1419535012028177,-0.2727970859096149,0.44376766359879366
glucose_fasting,0.7679956488840188,-0.7291277500422485,0.15049749827899575
glucose_postprandial,0.8540949994911614,-0.7142862614113801,0.055615373725976344
insulin_level,-0.11389899303520314,-0.2902205714753296,0.4386072138769295
hba1c,0.8910330699135623,-0.7624368203165328,0.07799056307201754
family_history_diabetes,0.569056053770219,-0.313013548925049,-0.15142410473507278
hypertension_history,0.02222951803418993,-0.11028925737982341,0.10754963115760435
cardiovascular_history,0.009456145960254661,-0.08651972627444762,0.09157516097567744
education_level,0.00574759043742006,0.004514724543551892,-0.010411393698805066
income_level,0.00939281708383093,0.0009130734884157688,-0.009534029255772016
gender,0.004401560427511085,0.0005054279105695326,-0.004557468748097849
ethnicity,0.016003484628498543,-0.011227238444242428,-0.0014532633533899154
employment_status,0.0018764000444732815,-0.0008005934337259807,-0.0007672072761792673
smoking_status,0.017768917502556793,0.00860357772540643,-0.025992414650207477
